asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
HYG,long,2010-02-11 00:00:00,83.91,2010-02-19 00:00:00,86.68681826008724,target,0.03269281682859311
HYG,long,2010-05-21 00:00:00,81.49,2010-06-21 00:00:00,86.77,time,0.06439322616271932
HYG,long,2011-06-09 00:00:00,90.21,2011-06-16 00:00:00,88.87215769566288,stop,-0.015230310434953086
HYG,long,2011-06-17 00:00:00,88.89,2011-06-30 00:00:00,90.89929435858399,target,0.02220427898058248
HYG,long,2011-08-05 00:00:00,87.44,2011-08-08 00:00:00,83.87,stop,-0.041227996340347614
HYG,long,2011-08-09 00:00:00,84.25,2011-09-07 00:00:00,86.59,time,0.02737448071216626
HYG,long,2012-05-17 00:00:00,88.82,2012-06-01 00:00:00,86.58,stop,-0.025619545147489254
HYG,long,2012-06-04 00:00:00,86.54,2012-06-14 00:00:00,89.13363992029203,target,0.02957041738262096
HYG,long,2013-06-04 00:00:00,92.5,2013-06-20 00:00:00,90.60274658547026,stop,-0.020910847724645843
HYG,long,2013-06-21 00:00:00,91.01,2013-06-24 00:00:00,88.34510538429875,stop,-0.029681338486993215
HYG,long,2013-06-25 00:00:00,89.5,2013-07-11 00:00:00,92.49645250027302,target,0.033079916204167906
HYG,long,2014-07-18 00:00:00,93.77,2014-07-31 00:00:00,92.83,stop,-0.01042452810067178
HYG,long,2014-08-01 00:00:00,92.06,2014-08-11 00:00:00,93.26053264626128,target,0.01264076304867774
HYG,long,2014-09-26 00:00:00,91.22,2014-10-15 00:00:00,89.9565493949487,stop,-0.014250587645815703
HYG,long,2014-10-16 00:00:00,89.99,2014-10-17 00:00:00,92.07863553398964,target,0.02280964033770023
HYG,long,2014-12-02 00:00:00,90.05,2014-12-11 00:00:00,88.01275672121976,stop,-0.02302346783764835
HYG,long,2014-12-12 00:00:00,87.8,2014-12-18 00:00:00,90.0,target,0.02465694760820054
HYG,long,2015-06-05 00:00:00,89.49,2015-07-06 00:00:00,88.58,time,-0.01056873393675266
HYG,long,2015-07-07 00:00:00,88.33,2015-07-27 00:00:00,87.01,stop,-0.01534396014943955
HYG,long,2015-07-28 00:00:00,86.97,2015-08-20 00:00:00,85.65777332440217,stop,-0.015488268087821376
HYG,long,2015-08-25 00:00:00,85.56,2015-09-23 00:00:00,85.05,time,-0.006360729312763036
HYG,long,2015-09-29 00:00:00,82.71,2015-10-07 00:00:00,84.60315187855397,target,0.022489032505791106
HYG,long,2015-12-09 00:00:00,81.06,2015-12-11 00:00:00,79.45404786463197,stop,-0.020211894095337125
HYG,long,2015-12-14 00:00:00,79.4,2016-01-13 00:00:00,79.54,time,0.0013632241813601013
HYG,long,2016-11-11 00:00:00,83.99,2016-11-22 00:00:00,85.91826632625383,target,0.022558284632144775
HYG,long,2017-08-11 00:00:00,87.37,2017-08-30 00:00:00,88.33250779333318,target,0.01061645637327664
HYG,long,2017-11-09 00:00:00,87.14,2017-11-15 00:00:00,86.3734382730142,stop,-0.009196898404702768
HYG,long,2017-11-16 00:00:00,87.12,2017-12-15 00:00:00,87.3,time,0.0016661157024792765
HYG,long,2018-02-05 00:00:00,86.13,2018-02-09 00:00:00,85.10686517436731,stop,-0.012278960009667704
HYG,long,2018-02-12 00:00:00,85.2,2018-03-13 00:00:00,85.93,time,0.0081680751173709
HYG,long,2018-07-03 00:00:00,84.84,2018-07-24 00:00:00,85.7647796717852,target,0.010500279016798687
HYG,long,2018-10-11 00:00:00,84.83,2018-11-08 00:00:00,84.85,time,-0.0001642343510551033
HYG,long,2018-11-13 00:00:00,83.86,2018-12-10 00:00:00,82.61735208666926,stop,-0.015218124413674471
HYG,long,2018-12-20 00:00:00,81.07,2019-01-07 00:00:00,82.80792530191866,target,0.021037341827046595
HYG,long,2019-06-04 00:00:00,84.91,2019-06-10 00:00:00,86.26,target,0.015499187374867508
HYG,long,2020-02-28 00:00:00,84.69,2020-03-02 00:00:00,86.3917159301579,target,0.01969346947878021
HYG,long,2020-03-09 00:00:00,79.64,2020-03-10 00:00:00,82.62,target,0.03701838272225007
HYG,long,2021-03-19 00:00:00,85.86,2021-04-15 00:00:00,87.38401127394897,target,0.01734995660317935
HYG,long,2021-10-11 00:00:00,86.76,2021-11-08 00:00:00,87.59,time,0.009166620562471152
HYG,long,2021-11-23 00:00:00,86.23,2021-12-22 00:00:00,86.65,time,0.00447069465383283
HYG,long,2022-01-21 00:00:00,85.43,2022-01-28 00:00:00,84.15877974235632,stop,-0.01528025585442687
HYG,long,2022-01-31 00:00:00,84.5,2022-02-11 00:00:00,82.78470954444246,stop,-0.02069929533204189
HYG,long,2022-02-14 00:00:00,82.65,2022-03-14 00:00:00,80.66227800683203,stop,-0.02444987287559568
HYG,long,2022-03-15 00:00:00,80.13,2022-03-29 00:00:00,82.55199441685598,target,0.029825813264145528
HYG,long,2023-09-27 00:00:00,73.79,2023-10-03 00:00:00,72.54927176068385,stop,-0.0172143141254391
HYG,long,2023-10-04 00:00:00,72.32,2023-11-01 00:00:00,72.28,time,-0.000953097345132647
