asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
SHY,short,2003-07-18 00:00:00,82.45,2003-09-15 00:00:00,82.4,time,-0.0005872226553851802
SHY,short,2003-09-19 00:00:00,82.38,2003-11-14 00:00:00,82.25,time,0.00038440213181651674
SHY,short,2003-11-20 00:00:00,82.38,2004-01-09 00:00:00,82.69906538397524,stop,-0.0049278546939733455
SHY,short,2004-04-13 00:00:00,82.34,2004-06-09 00:00:00,81.44,time,0.009736638251770688
SHY,short,2004-06-10 00:00:00,81.36,2004-06-30 00:00:00,81.67440463731208,stop,-0.004522300290041704
SHY,short,2004-07-01 00:00:00,81.49,2004-07-02 00:00:00,81.82668345870538,stop,-0.00455143359657304
SHY,short,2004-07-06 00:00:00,81.8,2004-08-18 00:00:00,82.19,stop,-0.005782805526448589
SHY,short,2004-11-08 00:00:00,81.71,2005-01-05 00:00:00,81.26,time,0.004313631056795783
SHY,short,2005-01-06 00:00:00,81.3,2005-03-07 00:00:00,80.9,time,0.0037263984068411447
SHY,short,2005-03-08 00:00:00,80.88,2005-04-15 00:00:00,81.11171111101737,stop,-0.003800589545573076
SHY,short,2005-04-18 00:00:00,81.14,2005-06-14 00:00:00,81.0,time,0.0005317620729994952
SHY,short,2005-07-13 00:00:00,80.83,2005-08-31 00:00:00,81.09342637592697,stop,-0.004353461838072661
SHY,short,2005-09-28 00:00:00,80.67,2005-11-23 00:00:00,80.47,time,0.0012855856015395269
SHY,short,2005-11-25 00:00:00,80.41,2006-01-25 00:00:00,80.47,time,-0.001939826642425804
SHY,short,2006-02-07 00:00:00,80.05,2006-04-05 00:00:00,79.81,time,0.0018044753774921292
SHY,short,2006-04-06 00:00:00,79.78,2006-06-05 00:00:00,79.68,time,5.979618554192469e-05
SHY,short,2006-06-06 00:00:00,79.65,2006-07-28 00:00:00,79.94234035324976,stop,-0.00480443901488339
SHY,short,2007-01-03 00:00:00,80.0,2007-02-27 00:00:00,80.28134548420374,stop,-0.004650945536673692
SHY,short,2007-05-10 00:00:00,80.11,2007-07-09 00:00:00,79.74,time,0.00342499856348317
SHY,short,2007-07-10 00:00:00,79.9,2007-07-20 00:00:00,80.19468260155706,stop,-0.00424687285656562
SHY,short,2008-04-25 00:00:00,83.06,2008-06-23 00:00:00,82.36,time,0.007233991874300137
SHY,short,2008-06-24 00:00:00,82.4,2008-07-07 00:00:00,82.90875280453102,stop,-0.006732914679737645
SHY,short,2008-07-08 00:00:00,82.88,2008-09-03 00:00:00,83.04,time,-0.0031241527241528313
SHY,short,2009-02-03 00:00:00,84.21,2009-04-01 00:00:00,84.14,time,-0.00036239559830591154
SHY,short,2009-04-02 00:00:00,84.07,2009-06-01 00:00:00,83.7,time,0.003207443532505858
SHY,short,2009-06-02 00:00:00,83.75,2009-07-29 00:00:00,83.63,time,0.0002391850272448013
SHY,short,2009-08-04 00:00:00,83.48,2009-08-28 00:00:00,83.85408216530442,stop,-0.005238242106117631
SHY,short,2009-12-09 00:00:00,83.68,2010-02-08 00:00:00,83.62,time,-0.0004766335852377981
SHY,short,2010-03-23 00:00:00,83.38,2010-05-05 00:00:00,83.58067845970831,stop,-0.0034020318072592224
SHY,short,2010-11-16 00:00:00,84.15,2011-01-13 00:00:00,83.99,time,0.0007077158135982507
SHY,short,2011-01-14 00:00:00,84.04,2011-03-15 00:00:00,84.13,time,-0.002264569403836394
SHY,short,2011-04-06 00:00:00,83.68,2011-04-15 00:00:00,83.91322927792214,stop,-0.0033260456518207308
SHY,short,2011-10-07 00:00:00,84.46,2011-12-05 00:00:00,84.48,time,-0.0014304492781405578
SHY,short,2011-12-06 00:00:00,84.48,2012-01-06 00:00:00,84.58238981678417,stop,-0.002028667338827651
SHY,short,2012-01-09 00:00:00,84.49,2012-03-07 00:00:00,84.39,time,-1.0078773293445073e-05
SHY,short,2012-03-08 00:00:00,84.37,2012-04-23 00:00:00,84.46,stop,-0.002081809245368473
SHY,short,2012-06-26 00:00:00,84.37,2012-07-13 00:00:00,84.45215709383078,stop,-0.0016118666477286329
SHY,short,2012-08-15 00:00:00,84.4,2012-08-30 00:00:00,84.4798498999372,stop,-0.001564342830068877
SHY,short,2012-09-26 00:00:00,84.44,2012-11-26 00:00:00,84.42,time,-0.0009567962223576056
SHY,short,2012-11-27 00:00:00,84.4,2013-01-25 00:00:00,84.44,time,-0.0016675844429397315
SHY,short,2013-02-05 00:00:00,84.41,2013-04-04 00:00:00,84.46,time,-0.0017859976719827777
SHY,short,2013-05-28 00:00:00,84.46,2013-07-24 00:00:00,84.34,time,0.00022714011328723617
SHY,short,2013-07-25 00:00:00,84.32,2013-09-20 00:00:00,84.38,time,-0.0019052257462124824
SHY,short,2013-12-24 00:00:00,84.38,2014-01-24 00:00:00,84.47962502456247,stop,-0.0019774964629839975
SHY,short,2014-03-24 00:00:00,84.31,2014-03-31 00:00:00,84.44225374117953,stop,-0.0020678665458559345
SHY,short,2014-04-01 00:00:00,84.4,2014-04-10 00:00:00,84.53473586861249,stop,-0.002135285436430068
SHY,short,2014-04-25 00:00:00,84.48,2014-05-14 00:00:00,84.60324831291669,stop,-0.0021168417271207446
SHY,short,2014-06-17 00:00:00,84.42,2014-06-26 00:00:00,84.61,stop,-0.0027895403932716393
SHY,short,2014-07-02 00:00:00,84.46,2014-08-07 00:00:00,84.5919860251418,stop,-0.0024587362824017205
SHY,short,2014-09-10 00:00:00,84.43,2014-09-17 00:00:00,84.56433296961701,stop,-0.002090263670265258
SHY,short,2014-09-18 00:00:00,84.42,2014-10-01 00:00:00,84.56293608659871,stop,-0.002271725735592312
SHY,short,2014-10-06 00:00:00,84.54,2014-10-08 00:00:00,84.68356774062664,stop,-0.0021379051636078116
SHY,short,2014-12-09 00:00:00,84.58,2015-01-13 00:00:00,84.75226126346985,stop,-0.0028930158352194605
SHY,short,2015-02-18 00:00:00,84.62,2015-03-18 00:00:00,84.81925917702846,stop,-0.0031515781388303144
SHY,short,2015-06-08 00:00:00,84.68,2015-06-19 00:00:00,84.84545018901159,stop,-0.002532399829747401
SHY,short,2015-06-23 00:00:00,84.72,2015-06-30 00:00:00,84.88830755412695,stop,-0.00248583942435936
SHY,short,2015-07-02 00:00:00,84.85,2015-08-24 00:00:00,85.05,stop,-0.003471386480343599
SHY,short,2015-09-16 00:00:00,84.68,2015-09-17 00:00:00,84.84884936292828,stop,-0.002413811072962102
SHY,short,2015-11-06 00:00:00,84.56,2016-01-06 00:00:00,84.48,time,-0.00024757699989490754
SHY,short,2016-01-07 00:00:00,84.53,2016-01-15 00:00:00,84.73,stop,-0.002885071515889104
SHY,short,2016-03-15 00:00:00,84.68,2016-03-18 00:00:00,84.86544797332684,stop,-0.002649509323539312
SHY,short,2016-05-26 00:00:00,84.85,2016-06-09 00:00:00,85.02,stop,-0.0025821070797206196
SHY,short,2016-08-22 00:00:00,85.07,2016-10-18 00:00:00,84.92,time,0.0005696029973447179
SHY,short,2016-10-19 00:00:00,84.93,2016-12-15 00:00:00,84.25,time,0.006812942871720804
SHY,short,2016-12-16 00:00:00,84.27,2016-12-30 00:00:00,84.4542972303876,stop,-0.002765556481230669
SHY,short,2017-01-03 00:00:00,84.37,2017-01-17 00:00:00,84.5379327170506,stop,-0.002569003063638387
SHY,short,2017-01-18 00:00:00,84.49,2017-02-24 00:00:00,84.66757162033481,stop,-0.0030175610302512826
SHY,short,2017-03-09 00:00:00,84.26,2017-03-21 00:00:00,84.44600272010635,stop,-0.0027662155623184416
SHY,short,2017-03-22 00:00:00,84.51,2017-04-18 00:00:00,84.68819055295133,stop,-0.0028656572690623616
SHY,short,2017-05-11 00:00:00,84.39,2017-05-12 00:00:00,84.54487171126526,stop,-0.002255031591742651
SHY,short,2017-06-16 00:00:00,84.5,2017-08-11 00:00:00,84.64073394432044,stop,-0.002839299989140123
SHY,short,2017-09-25 00:00:00,84.47,2017-11-20 00:00:00,84.11,time,0.0030682173252079645
SHY,short,2017-11-21 00:00:00,84.07,2018-01-22 00:00:00,83.68,time,0.003445340523108917
SHY,short,2018-01-23 00:00:00,83.68,2018-03-21 00:00:00,83.35,time,0.002749943852620904
SHY,short,2018-03-22 00:00:00,83.44,2018-05-18 00:00:00,83.18,time,0.0019223607116223924
SHY,short,2018-05-21 00:00:00,83.16,2018-05-24 00:00:00,83.3,stop,-0.002143025493025541
SHY,short,2018-05-25 00:00:00,83.35,2018-05-29 00:00:00,83.47780459789354,stop,-0.0019531897748627843
SHY,short,2018-06-04 00:00:00,83.24,2018-07-31 00:00:00,83.21,time,-0.0008332471415604583
SHY,short,2018-08-01 00:00:00,83.05,2018-08-09 00:00:00,83.16245319459297,stop,-0.0018730896972290801
SHY,short,2018-08-10 00:00:00,83.22,2018-08-22 00:00:00,83.33981710728088,stop,-0.001998493524277789
SHY,short,2018-09-12 00:00:00,83.11,2018-11-07 00:00:00,82.87,time,0.0016940883472467778
SHY,short,2018-11-08 00:00:00,82.88,2018-11-14 00:00:00,83.05034749692204,stop,-0.002534716152266192
SHY,short,2018-11-15 00:00:00,83.09,2018-11-30 00:00:00,83.26272250434097,stop,-0.002677152671224859
SHY,short,2019-09-19 00:00:00,84.64,2019-10-02 00:00:00,84.90798687374196,stop,-0.00374476795198786
SHY,short,2019-10-29 00:00:00,84.76,2019-12-26 00:00:00,84.56,time,0.0011659527929466869
SHY,short,2019-12-27 00:00:00,84.58,2020-01-17 00:00:00,84.76211715439914,stop,-0.0028309718472876453
SHY,short,2020-07-28 00:00:00,86.56,2020-09-23 00:00:00,86.49,time,-0.0003849631781239118
SHY,short,2020-09-24 00:00:00,86.49,2020-11-19 00:00:00,86.35,time,0.00042503344730189
SHY,short,2020-11-20 00:00:00,86.38,2021-01-21 00:00:00,86.38,time,-0.0011936507936507936
SHY,short,2021-01-22 00:00:00,86.38,2021-03-22 00:00:00,86.27,time,7.97921329525695e-05
SHY,short,2021-03-23 00:00:00,86.275,2021-05-19 00:00:00,86.295,time,-0.001425467658327675
SHY,short,2021-05-20 00:00:00,86.2785,2021-07-19 00:00:00,86.24,time,-0.0007474214317588126
SHY,short,2021-07-20 00:00:00,86.275,2021-09-15 00:00:00,86.23,time,-0.0006720628481277548
SHY,short,2021-09-27 00:00:00,86.1,2021-11-22 00:00:00,85.685,time,0.0036263259775453725
SHY,short,2021-11-23 00:00:00,85.675,2021-11-26 00:00:00,85.87747352220737,stop,-0.002802956799470868
SHY,short,2021-11-29 00:00:00,85.805,2022-01-26 00:00:00,85.15,time,0.006439936992608761
SHY,short,2022-01-27 00:00:00,84.92,2022-03-25 00:00:00,83.44,time,0.0162345168935843
SHY,short,2022-03-28 00:00:00,83.28,2022-05-24 00:00:00,83.26,time,-0.0009534970952838531
SHY,short,2022-05-25 00:00:00,83.475,2022-07-25 00:00:00,82.79,time,0.007012398921832761
SHY,short,2022-07-26 00:00:00,82.87,2022-09-21 00:00:00,81.54,time,0.01485558294594131
SHY,short,2022-09-22 00:00:00,81.38,2022-11-17 00:00:00,81.19,time,0.0011410751832476394
SHY,short,2022-11-18 00:00:00,81.145,2022-12-13 00:00:00,81.59,stop,-0.00620147042282735
SHY,short,2023-02-15 00:00:00,81.1,2023-03-13 00:00:00,81.845,stop,-0.009923491476327562
SHY,short,2023-05-31 00:00:00,81.64,2023-07-28 00:00:00,81.08,time,0.005665731861910281
SHY,short,2023-07-31 00:00:00,81.08,2023-09-26 00:00:00,80.89,time,0.001149713784543602
SHY,short,2023-09-27 00:00:00,80.91,2023-11-03 00:00:00,81.18,stop,-0.004272755442555256
