asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
EWZ,short,2000-12-05 00:00:00,14.38,2000-12-06 00:00:00,15.13,stop,-0.05257561317526546
EWZ,short,2000-12-07 00:00:00,15.06,2000-12-08 00:00:00,15.88,stop,-0.05486871245178013
EWZ,short,2000-12-11 00:00:00,16.19,2001-01-02 00:00:00,16.88,stop,-0.04329667833367634
EWZ,short,2001-01-03 00:00:00,16.63,2001-01-04 00:00:00,17.88,stop,-0.07558520507020214
EWZ,short,2001-03-02 00:00:00,17.0,2001-03-16 00:00:00,15.407553451402071,target,0.09307491368970074
EWZ,short,2001-03-19 00:00:00,15.7,2001-03-23 00:00:00,13.988530601118953,target,0.10853142465828125
EWZ,short,2001-03-26 00:00:00,14.95,2001-04-24 00:00:00,14.1,time,0.05605936189414447
EWZ,short,2001-04-25 00:00:00,14.1,2001-04-30 00:00:00,15.432141800680817,stop,-0.09493766570178049
EWZ,short,2001-05-01 00:00:00,15.26,2001-05-30 00:00:00,14.5,time,0.049006582204747365
EWZ,short,2001-05-31 00:00:00,14.72,2001-06-18 00:00:00,13.441780835278593,target,0.08619744584352217
EWZ,short,2001-06-19 00:00:00,13.75,2001-06-22 00:00:00,14.9,stop,-0.08409588744588754
EWZ,short,2001-06-25 00:00:00,14.92,2001-07-05 00:00:00,13.3955101387985,target,0.10163871574928139
EWZ,short,2001-07-06 00:00:00,12.93,2001-08-03 00:00:00,12.65,time,0.02085824034176693
EWZ,short,2001-08-06 00:00:00,13.06,2001-08-24 00:00:00,11.3,target,0.13408485621915944
EWZ,short,2001-08-27 00:00:00,11.3,2001-09-17 00:00:00,9.0,target,0.20294141031043694
EWZ,short,2001-09-18 00:00:00,9.5,2001-10-16 00:00:00,9.37,time,0.012887385129490458
EWZ,short,2001-10-17 00:00:00,9.75,2001-11-05 00:00:00,10.48482716180128,stop,-0.07602482489781133
EWZ,short,2001-11-06 00:00:00,10.58,2001-11-08 00:00:00,11.342564267749703,stop,-0.07251570028540101
EWZ,short,2001-11-09 00:00:00,11.04,2001-11-26 00:00:00,11.84783662399639,stop,-0.07377201994446252
EWZ,short,2002-05-08 00:00:00,12.21,2002-06-06 00:00:00,11.38,time,0.06718024258024254
EWZ,short,2002-06-07 00:00:00,10.69,2002-06-21 00:00:00,9.313504591686984,target,0.1281663588930761
EWZ,short,2002-06-24 00:00:00,9.0,2002-07-23 00:00:00,8.7,time,0.032536507936508044
EWZ,short,2002-07-24 00:00:00,7.82,2002-08-08 00:00:00,8.791871171475666,stop,-0.12489845492422155
EWZ,short,2002-08-09 00:00:00,8.39,2002-09-09 00:00:00,7.6,time,0.09336288854834758
EWZ,short,2002-09-10 00:00:00,8.04,2002-09-23 00:00:00,6.538059353682768,target,0.18622996667058667
EWZ,short,2002-09-24 00:00:00,6.52,2002-10-22 00:00:00,5.76,time,0.11576759178108871
EWZ,short,2002-10-23 00:00:00,6.2,2002-10-28 00:00:00,7.2,stop,-0.16174984639016907
EWZ,short,2002-10-29 00:00:00,6.72,2002-11-04 00:00:00,7.723125783385292,stop,-0.14975403522598607
EWZ,short,2002-11-05 00:00:00,7.31,2002-12-04 00:00:00,7.26,time,0.006043119883612345
EWZ,short,2003-03-05 00:00:00,7.59,2003-03-14 00:00:00,8.18,stop,-0.0782727492314448
EWZ,short,2004-03-26 00:00:00,15.74,2004-03-31 00:00:00,16.9016683351121,stop,-0.07426310291448564
EWZ,short,2004-04-16 00:00:00,16.11,2004-04-29 00:00:00,14.530216844607628,target,0.09748369768330767
EWZ,short,2004-04-30 00:00:00,14.45,2004-05-10 00:00:00,12.632455247461643,target,0.12526259615523316
EWZ,short,2004-05-11 00:00:00,12.8,2004-05-28 00:00:00,14.22,stop,-0.11159543650793642
EWZ,short,2004-06-01 00:00:00,13.81,2004-06-30 00:00:00,14.39,time,-0.042795377170902246
EWZ,short,2004-07-01 00:00:00,14.84,2004-07-15 00:00:00,15.787098016673285,stop,-0.06439919249819981
EWZ,short,2005-04-19 00:00:00,21.84,2005-05-06 00:00:00,23.45465703728203,stop,-0.07458911953367038
EWZ,short,2005-05-13 00:00:00,21.78,2005-05-27 00:00:00,23.54,stop,-0.08140649350649336
EWZ,short,2006-05-26 00:00:00,39.09,2006-06-12 00:00:00,31.87686363550354,target,0.18392797165810976
EWZ,short,2006-06-13 00:00:00,33.0,2006-06-29 00:00:00,38.02009256789236,stop,-0.15276211244695462
EWZ,short,2006-06-30 00:00:00,39.5,2006-07-31 00:00:00,39.66,time,-0.004847458308217691
EWZ,short,2006-08-01 00:00:00,38.86,2006-08-29 00:00:00,39.5,time,-0.01726620264849803
EWZ,short,2006-09-26 00:00:00,36.58,2006-10-02 00:00:00,39.35,stop,-0.07620380466383758
EWZ,short,2007-08-22 00:00:00,55.61,2007-09-04 00:00:00,62.85553945464973,stop,-0.1308507541589052
EWZ,short,2008-01-24 00:00:00,70.11,2008-02-12 00:00:00,79.22,stop,-0.1305966043156673
EWZ,short,2008-03-20 00:00:00,73.7,2008-04-03 00:00:00,83.07715667942874,stop,-0.12781271904632907
EWZ,short,2008-07-03 00:00:00,84.45,2008-08-01 00:00:00,80.99,time,0.04017416335391473
EWZ,short,2008-08-04 00:00:00,77.69,2008-08-19 00:00:00,67.72,target,0.12771229050336397
EWZ,short,2008-08-20 00:00:00,72.2602,2008-09-05 00:00:00,62.549988013557716,target,0.13376017269597174
EWZ,short,2008-09-08 00:00:00,67.25,2008-09-11 00:00:00,56.960946501889666,target,0.15253755422929152
EWZ,short,2008-09-12 00:00:00,61.15,2008-09-29 00:00:00,49.406125196284634,target,0.19143202900337908
EWZ,short,2008-09-30 00:00:00,53.3,2008-10-08 00:00:00,34.09,target,0.35989371035468587
EWZ,short,2008-10-09 00:00:00,39.64,2008-11-06 00:00:00,37.61,time,0.05041407268591931
EWZ,short,2008-11-07 00:00:00,37.2,2008-12-08 00:00:00,32.83,time,0.11667629288274457
EWZ,short,2008-12-09 00:00:00,33.04,2009-01-08 00:00:00,37.47,time,-0.1348767285445252
EWZ,short,2009-01-09 00:00:00,38.81,2009-02-09 00:00:00,40.38,time,-0.04125031676502937
EWZ,short,2009-02-11 00:00:00,38.7,2009-03-12 00:00:00,35.51,time,0.08163211517165021
EWZ,short,2010-01-29 00:00:00,67.01,2010-03-01 00:00:00,69.06,time,-0.031389274285051054
EWZ,short,2010-03-02 00:00:00,70.57,2010-03-30 00:00:00,72.93,time,-0.03423879790639055
EWZ,short,2010-05-07 00:00:00,63.94,2010-06-07 00:00:00,62.16,time,0.02704177328944297
EWZ,short,2010-06-08 00:00:00,61.44,2010-06-21 00:00:00,68.74,stop,-0.11939367559523795
EWZ,short,2010-06-22 00:00:00,68.29,2010-07-21 00:00:00,67.79,time,0.006524890813454263
EWZ,short,2010-07-22 00:00:00,67.98,2010-08-19 00:00:00,70.48,time,-0.037572347609240705
EWZ,short,2011-01-24 00:00:00,75.08,2011-02-22 00:00:00,73.29,time,0.02304441061809188
EWZ,short,2011-02-23 00:00:00,72.44,2011-03-23 00:00:00,74.78,time,-0.03309942064806774
EWZ,short,2011-03-24 00:00:00,75.47,2011-04-04 00:00:00,79.54,stop,-0.05446760228494043
EWZ,short,2011-05-13 00:00:00,72.95,2011-06-13 00:00:00,72.41,time,0.006605504966437146
EWZ,short,2011-06-14 00:00:00,72.4,2011-07-13 00:00:00,70.06,time,0.03152361659212495
EWZ,short,2011-07-14 00:00:00,70.84,2011-08-04 00:00:00,64.93,target,0.08272982307547523
EWZ,short,2011-08-05 00:00:00,63.46,2011-08-08 00:00:00,56.951894492264316,target,0.10213461047512698
EWZ,short,2011-08-09 00:00:00,57.99,2011-08-17 00:00:00,63.57786507077324,stop,-0.09687816247976908
EWZ,short,2011-08-18 00:00:00,61.27,2011-09-16 00:00:00,61.19,time,0.0005088707024076367
EWZ,short,2011-09-19 00:00:00,58.89,2011-10-03 00:00:00,51.11183726570331,target,0.13148110393084006
EWZ,short,2011-10-04 00:00:00,50.29,2011-10-07 00:00:00,55.85802501667057,stop,-0.11117785780575702
EWZ,short,2011-10-10 00:00:00,55.64,2011-10-27 00:00:00,62.55,stop,-0.12484916583935275
EWZ,short,2011-10-28 00:00:00,62.68,2011-11-25 00:00:00,54.23566375451121,target,0.13394439821967818
EWZ,short,2011-11-28 00:00:00,56.12,2011-12-02 00:00:00,61.05,stop,-0.08832683478713421
EWZ,short,2011-12-05 00:00:00,61.43,2012-01-04 00:00:00,59.58,time,0.02931875331064655
EWZ,short,2012-01-09 00:00:00,59.32,2012-01-17 00:00:00,62.94,stop,-0.061524155776043685
EWZ,short,2012-04-11 00:00:00,62.545,2012-05-08 00:00:00,57.835956658750426,target,0.07451350018430491
EWZ,short,2012-05-09 00:00:00,56.48,2012-05-17 00:00:00,52.14072857075318,target,0.07630941253050652
EWZ,short,2012-05-18 00:00:00,51.82,2012-06-18 00:00:00,51.88,time,-0.0019546795072074474
EWZ,short,2012-06-19 00:00:00,53.08,2012-06-28 00:00:00,48.287657538696294,target,0.08974638732256
EWZ,short,2012-06-29 00:00:00,51.04,2012-07-30 00:00:00,53.25,time,-0.04409619843757766
EWZ,short,2012-07-31 00:00:00,53.42,2012-08-28 00:00:00,53.63,time,-0.0047279373399178775
EWZ,short,2012-08-29 00:00:00,53.27,2012-09-07 00:00:00,55.90399524641795,stop,-0.049965175766559206
EWZ,short,2012-11-12 00:00:00,52.85,2012-12-11 00:00:00,53.6,time,-0.014987932303164132
EWZ,short,2012-12-14 00:00:00,53.97,2013-01-02 00:00:00,56.66,stop,-0.0504607590636774
EWZ,short,2013-04-01 00:00:00,54.37,2013-04-29 00:00:00,54.21,time,0.00214597394104472
EWZ,short,2013-04-30 00:00:00,53.9,2013-05-29 00:00:00,53.51,time,0.006438796124510436
EWZ,short,2013-05-30 00:00:00,52.23,2013-06-10 00:00:00,48.660638200986355,target,0.0678004141747459
EWZ,short,2013-06-11 00:00:00,47.8,2013-06-20 00:00:00,43.57,target,0.0879548349604835
EWZ,short,2013-06-21 00:00:00,43.87,2013-07-22 00:00:00,43.83,time,0.00011495942195733808
EWZ,short,2013-07-23 00:00:00,45.27,2013-08-20 00:00:00,42.46,time,0.0612751869733978
EWZ,short,2013-08-21 00:00:00,41.76,2013-09-05 00:00:00,44.093597172661305,stop,-0.056479571047581875
EWZ,short,2013-09-06 00:00:00,45.07,2013-09-16 00:00:00,47.556406681442695,stop,-0.05568671306042092
EWZ,short,2013-09-17 00:00:00,47.11,2013-09-18 00:00:00,49.524667968175315,stop,-0.05167579474416348
EWZ,short,2013-12-06 00:00:00,45.15,2014-01-07 00:00:00,43.67,time,0.0319827980804724
EWZ,short,2014-01-08 00:00:00,43.03,2014-01-24 00:00:00,39.861676418049,target,0.07301231963042135
EWZ,short,2014-01-27 00:00:00,39.94,2014-02-25 00:00:00,40.86,time,-0.02383137722456712
EWZ,short,2014-02-26 00:00:00,40.46,2014-03-25 00:00:00,42.790601651113604,stop,-0.058379595375466775
EWZ,short,2014-03-26 00:00:00,42.8,2014-03-28 00:00:00,45.17375121297878,stop,-0.05590115947843923
EWZ,short,2014-09-23 00:00:00,46.52,2014-10-01 00:00:00,41.897321816902824,target,0.0988506467725512
EWZ,short,2014-10-02 00:00:00,42.22,2014-10-06 00:00:00,47.32,stop,-0.12123551389922772
EWZ,short,2014-10-07 00:00:00,46.91,2014-10-23 00:00:00,40.49,target,0.13621971759498927
EWZ,short,2014-10-24 00:00:00,40.67,2014-11-21 00:00:00,42.06,time,-0.03497435182908508
EWZ,short,2014-11-24 00:00:00,43.24,2014-12-10 00:00:00,37.44195272790286,target,0.13347164594148564
EWZ,short,2014-12-11 00:00:00,36.76,2015-01-12 00:00:00,35.34,time,0.03783211910807112
